"","Discipline","Gender","Count"
"1","3x3 Basketball","Female",32
"2","Archery","Female",64
"3","Artistic Gymnastics","Female",98
"4","Artistic Swimming","Female",105
"5","Athletics","Female",969
"6","Badminton","Female",86
"7","Baseball/Softball","Female",90
"8","Basketball","Female",144
"9","Beach Volleyball","Female",48
"10","Boxing","Female",102
"11","Canoe Slalom","Female",41
"12","Canoe Sprint","Female",123
"13","Cycling BMX Freestyle","Female",10
"14","Cycling BMX Racing","Female",24
"15","Cycling Mountain Bike","Female",38
"16","Cycling Road","Female",70
"17","Cycling Track","Female",90
"18","Diving","Female",72
"19","Equestrian","Female",73
"20","Fencing","Female",107
"21","Football","Female",264
"22","Golf","Female",60
"23","Handball","Female",168
"24","Hockey","Female",192
"25","Judo","Female",192
"26","Karate","Female",40
"27","Marathon Swimming","Female",25
"28","Modern Pentathlon","Female",36
"29","Rhythmic Gymnastics","Female",96
"30","Rowing","Female",257
"31","Rugby Sevens","Female",146
"32","Sailing","Female",175
"33","Shooting","Female",178
"34","Skateboarding","Female",40
"35","Sport Climbing","Female",20
"36","Surfing","Female",20
"37","Swimming","Female",361
"38","Table Tennis","Female",86
"39","Taekwondo","Female",65
"40","Tennis","Female",94
"41","Trampoline Gymnastics","Female",16
"42","Triathlon","Female",55
"43","Volleyball","Female",144
"44","Water Polo","Female",122
"45","Weightlifting","Female",98
"46","Wrestling","Female",96
"47","3x3 Basketball","Male",32
"48","Archery","Male",64
"49","Artistic Gymnastics","Male",98
"50","Artistic Swimming","Male",0
"51","Athletics","Male",1072
"52","Badminton","Male",87
"53","Baseball/Softball","Male",144
"54","Basketball","Male",144
"55","Beach Volleyball","Male",48
"56","Boxing","Male",187
"57","Canoe Slalom","Male",41
"58","Canoe Sprint","Male",126
"59","Cycling BMX Freestyle","Male",9
"60","Cycling BMX Racing","Male",24
"61","Cycling Mountain Bike","Male",38
"62","Cycling Road","Male",131
"63","Cycling Track","Male",99
"64","Diving","Male",71
"65","Equestrian","Male",125
"66","Fencing","Male",108
"67","Football","Male",344
"68","Golf","Male",60
"69","Handball","Male",168
"70","Hockey","Male",192
"71","Judo","Male",201
"72","Karate","Male",42
"73","Marathon Swimming","Male",25
"74","Modern Pentathlon","Male",36
"75","Rhythmic Gymnastics","Male",0
"76","Rowing","Male",265
"77","Rugby Sevens","Male",151
"78","Sailing","Male",175
"79","Shooting","Male",178
"80","Skateboarding","Male",40
"81","Sport Climbing","Male",20
"82","Surfing","Male",20
"83","Swimming","Male",418
"84","Table Tennis","Male",86
"85","Taekwondo","Male",65
"86","Tennis","Male",97
"87","Trampoline Gymnastics","Male",16
"88","Triathlon","Male",55
"89","Volleyball","Male",144
"90","Water Polo","Male",146
"91","Weightlifting","Male",99
"92","Wrestling","Male",193
