"Discipline","Gender","Count"
"Athletics","Male",1072
"Athletics","Female",969
"Swimming","Male",418
"Swimming","Female",361
"Football","Male",344
"Football","Female",264
"Judo","Male",201
"Judo","Female",192
"Rugby Sevens","Male",151
"Rugby Sevens","Female",146
"Basketball","Female",144
"Volleyball","Female",144
"Basketball","Male",144
"Volleyball","Male",144
"Artistic Swimming","Female",105
"Weightlifting","Male",99
"Artistic Gymnastics","Female",98
"Weightlifting","Female",98
"Artistic Gymnastics","Male",98
"Tennis","Male",97
"Rhythmic Gymnastics","Female",96
"Tennis","Female",94
"Trampoline Gymnastics","Female",16
"Trampoline Gymnastics","Male",16
"Artistic Swimming","Male",0
"Rhythmic Gymnastics","Male",0
