"Country","Rank","Total","Rank.by.Total","Country.Code","Latitude","Longitude","variable","value"
"United States of America",1,113,1,"US",37.09024,-95.712891,"Gold",39
"People's Republic of China",2,88,2,"CN",35.86166,104.195397,"Gold",38
"Japan",3,58,5,"JP",36.204824,138.252924,"Gold",27
"Great Britain",4,65,4,"GB",55.378051,-3.435973,"Gold",22
"Russian Olympic Committee",5,71,3,"RU",61.52401,105.318756,"Gold",20
"Australia",6,46,6,"AU",-25.274398,133.775136,"Gold",17
"Netherlands",7,36,9,"NL",52.132633,5.291266,"Gold",10
"France",8,33,10,"FR",46.227638,2.213749,"Gold",10
"Germany",9,37,8,"DE",51.165691,10.451526,"Gold",10
"Italy",10,40,7,"IT",41.87194,12.56738,"Gold",10
"United States of America",1,113,1,"US",37.09024,-95.712891,"Silver",41
"People's Republic of China",2,88,2,"CN",35.86166,104.195397,"Silver",32
"Japan",3,58,5,"JP",36.204824,138.252924,"Silver",14
"Great Britain",4,65,4,"GB",55.378051,-3.435973,"Silver",21
"Russian Olympic Committee",5,71,3,"RU",61.52401,105.318756,"Silver",28
"Australia",6,46,6,"AU",-25.274398,133.775136,"Silver",7
"Netherlands",7,36,9,"NL",52.132633,5.291266,"Silver",12
"France",8,33,10,"FR",46.227638,2.213749,"Silver",12
"Germany",9,37,8,"DE",51.165691,10.451526,"Silver",11
"Italy",10,40,7,"IT",41.87194,12.56738,"Silver",10
"United States of America",1,113,1,"US",37.09024,-95.712891,"Bronze",33
"People's Republic of China",2,88,2,"CN",35.86166,104.195397,"Bronze",18
"Japan",3,58,5,"JP",36.204824,138.252924,"Bronze",17
"Great Britain",4,65,4,"GB",55.378051,-3.435973,"Bronze",22
"Russian Olympic Committee",5,71,3,"RU",61.52401,105.318756,"Bronze",23
"Australia",6,46,6,"AU",-25.274398,133.775136,"Bronze",22
"Netherlands",7,36,9,"NL",52.132633,5.291266,"Bronze",14
"France",8,33,10,"FR",46.227638,2.213749,"Bronze",11
"Germany",9,37,8,"DE",51.165691,10.451526,"Bronze",16
"Italy",10,40,7,"IT",41.87194,12.56738,"Bronze",20
