"","Country","MedalType"
"1","United States of America","Gold"
"2","United States of America","Gold"
"3","United States of America","Gold"
"4","United States of America","Gold"
"5","United States of America","Gold"
"6","United States of America","Gold"
"7","United States of America","Gold"
"8","United States of America","Gold"
"9","United States of America","Gold"
"10","United States of America","Gold"
"11","United States of America","Gold"
"12","United States of America","Gold"
"13","United States of America","Gold"
"14","United States of America","Silver"
"15","United States of America","Silver"
"16","United States of America","Silver"
"17","United States of America","Silver"
"18","United States of America","Silver"
"19","United States of America","Silver"
"20","United States of America","Silver"
"21","United States of America","Silver"
"22","United States of America","Silver"
"23","United States of America","Silver"
"24","United States of America","Silver"
"25","United States of America","Silver"
"26","United States of America","Silver"
"27","United States of America","Bronze"
"28","United States of America","Bronze"
"29","United States of America","Bronze"
"30","United States of America","Bronze"
"31","United States of America","Bronze"
"32","United States of America","Bronze"
"33","United States of America","Bronze"
"34","United States of America","Bronze"
"35","United States of America","Bronze"
"36","United States of America","Bronze"
"37","United States of America","Bronze"
"38","People's Republic of China","Gold"
"39","People's Republic of China","Gold"
"40","People's Republic of China","Gold"
"41","People's Republic of China","Gold"
"42","People's Republic of China","Gold"
"43","People's Republic of China","Gold"
"44","People's Republic of China","Gold"
"45","People's Republic of China","Gold"
"46","People's Republic of China","Gold"
"47","People's Republic of China","Gold"
"48","People's Republic of China","Gold"
"49","People's Republic of China","Gold"
"50","People's Republic of China","Silver"
"51","People's Republic of China","Silver"
"52","People's Republic of China","Silver"
"53","People's Republic of China","Silver"
"54","People's Republic of China","Silver"
"55","People's Republic of China","Silver"
"56","People's Republic of China","Silver"
"57","People's Republic of China","Silver"
"58","People's Republic of China","Silver"
"59","People's Republic of China","Silver"
"60","People's Republic of China","Bronze"
"61","People's Republic of China","Bronze"
"62","People's Republic of China","Bronze"
"63","People's Republic of China","Bronze"
"64","People's Republic of China","Bronze"
"65","People's Republic of China","Bronze"
"66","Japan","Gold"
"67","Japan","Gold"
"68","Japan","Gold"
"69","Japan","Gold"
"70","Japan","Gold"
"71","Japan","Gold"
"72","Japan","Gold"
"73","Japan","Gold"
"74","Japan","Gold"
"75","Japan","Silver"
"76","Japan","Silver"
"77","Japan","Silver"
"78","Japan","Silver"
"79","Japan","Bronze"
"80","Japan","Bronze"
"81","Japan","Bronze"
"82","Japan","Bronze"
"83","Japan","Bronze"
"84","Great Britain","Gold"
"85","Great Britain","Gold"
"86","Great Britain","Gold"
"87","Great Britain","Gold"
"88","Great Britain","Gold"
"89","Great Britain","Gold"
"90","Great Britain","Gold"
"91","Great Britain","Silver"
"92","Great Britain","Silver"
"93","Great Britain","Silver"
"94","Great Britain","Silver"
"95","Great Britain","Silver"
"96","Great Britain","Silver"
"97","Great Britain","Silver"
"98","Great Britain","Bronze"
"99","Great Britain","Bronze"
"100","Great Britain","Bronze"
"101","Great Britain","Bronze"
"102","Great Britain","Bronze"
"103","Great Britain","Bronze"
"104","Great Britain","Bronze"
"105","Russian Olympic Committee","Gold"
"106","Russian Olympic Committee","Gold"
"107","Russian Olympic Committee","Gold"
"108","Russian Olympic Committee","Gold"
"109","Russian Olympic Committee","Gold"
"110","Russian Olympic Committee","Gold"
"111","Russian Olympic Committee","Silver"
"112","Russian Olympic Committee","Silver"
"113","Russian Olympic Committee","Silver"
"114","Russian Olympic Committee","Silver"
"115","Russian Olympic Committee","Silver"
"116","Russian Olympic Committee","Silver"
"117","Russian Olympic Committee","Silver"
"118","Russian Olympic Committee","Silver"
"119","Russian Olympic Committee","Silver"
"120","Russian Olympic Committee","Bronze"
"121","Russian Olympic Committee","Bronze"
"122","Russian Olympic Committee","Bronze"
"123","Russian Olympic Committee","Bronze"
"124","Russian Olympic Committee","Bronze"
"125","Russian Olympic Committee","Bronze"
"126","Russian Olympic Committee","Bronze"
"127","Australia","Gold"
"128","Australia","Gold"
"129","Australia","Gold"
"130","Australia","Gold"
"131","Australia","Gold"
"132","Australia","Silver"
"133","Australia","Silver"
"134","Australia","Bronze"
"135","Australia","Bronze"
"136","Australia","Bronze"
"137","Australia","Bronze"
"138","Australia","Bronze"
"139","Australia","Bronze"
"140","Australia","Bronze"
"141","Netherlands","Gold"
"142","Netherlands","Gold"
"143","Netherlands","Gold"
"144","Netherlands","Silver"
"145","Netherlands","Silver"
"146","Netherlands","Silver"
"147","Netherlands","Silver"
"148","Netherlands","Bronze"
"149","Netherlands","Bronze"
"150","Netherlands","Bronze"
"151","Netherlands","Bronze"
"152","France","Gold"
"153","France","Gold"
"154","France","Gold"
"155","France","Silver"
"156","France","Silver"
"157","France","Silver"
"158","France","Silver"
"159","France","Bronze"
"160","France","Bronze"
"161","France","Bronze"
"162","Germany","Gold"
"163","Germany","Gold"
"164","Germany","Gold"
"165","Germany","Silver"
"166","Germany","Silver"
"167","Germany","Silver"
"168","Germany","Bronze"
"169","Germany","Bronze"
"170","Germany","Bronze"
"171","Germany","Bronze"
"172","Germany","Bronze"
"173","Italy","Gold"
"174","Italy","Gold"
"175","Italy","Gold"
"176","Italy","Silver"
"177","Italy","Silver"
"178","Italy","Silver"
"179","Italy","Bronze"
"180","Italy","Bronze"
"181","Italy","Bronze"
"182","Italy","Bronze"
"183","Italy","Bronze"
"184","Italy","Bronze"
