"NOC","NumAthletes"
"Afghanistan",5
"Albania",8
"Algeria",41
"American Samoa",5
"Andorra",2
"Angola",20
"Antigua and Barbuda",6
"Argentina",180
"Armenia",16
"Aruba",3
"Australia",470
"Austria",72
"Azerbaijan",41
"Bahamas",16
"Bahrain",31
"Bangladesh",6
"Barbados",7
"Belarus",104
"Belgium",125
"Belize",3
"Benin",7
"Bermuda",2
"Bhutan",3
"Bolivia",5
"Bosnia and Herzegovina",7
"Botswana",13
"Brazil",291
"Brunei Darussalam",2
"Bulgaria",41
"Burkina Faso",7
"Burundi",6
"Cambodia",3
"Cameroon",11
"Canada",368
"Cape Verde",6
"Cayman Islands",5
"Central African Republic",2
"Chad",3
"Chile",56
"Chinese Taipei",67
"Colombia",64
"Comoros",3
"Congo",3
"Cook Islands",6
"Costa Rica",13
"Côte d'Ivoire",29
"Croatia",57
"Cuba",69
"Cyprus",14
"Czech Republic",117
"Democratic Republic of the Congo",7
"Democratic Republic of Timor-Leste",3
"Denmark",103
"Djibouti",4
"Dominica",2
"Dominican Republic",61
"Ecuador",46
"Egypt",133
"El Salvador",5
"Equatorial Guinea",3
"Eritrea",13
"Estonia",33
"Eswatini",4
"Ethiopia",42
"Federated States of Micronesia",3
"Fiji",28
"Finland",45
"France",377
"Gabon",5
"Gambia",3
"Georgia",35
"Germany",400
"Ghana",14
"Great Britain",366
"Greece",75
"Grenada",6
"Guam",5
"Guatemala",22
"Guinea",5
"Guinea-Bissau",4
"Guyana",7
"Haiti",6
"Honduras",25
"Hong Kong, China",40
"Hungary",155
"Iceland",4
"India",117
"Indonesia",26
"Iraq",4
"Ireland",116
"Islamic Republic of Iran",66
"Israel",85
"Italy",356
"Jamaica",60
"Japan",586
"Jordan",11
"Kazakhstan",92
"Kenya",78
"Kiribati",3
"Kosovo",10
"Kuwait",10
"Kyrgyzstan",16
"Lao People's Democratic Republic",4
"Latvia",29
"Lebanon",6
"Lesotho",2
"Liberia",3
"Libya",4
"Liechtenstein",5
"Lithuania",37
"Luxembourg",11
"Madagascar",6
"Malawi",5
"Malaysia",29
"Maldives",4
"Mali",4
"Malta",6
"Marshall Islands",2
"Mauritania",2
"Mauritius",7
"Mexico",155
"Monaco",6
"Mongolia",43
"Montenegro",35
"Morocco",48
"Mozambique",8
"Myanmar",2
"Namibia",11
"Nauru",2
"Nepal",5
"Netherlands",274
"New Zealand",202
"Nicaragua",8
"Niger",7
"Nigeria",59
"North Macedonia",8
"Norway",92
"Oman",5
"Pakistan",10
"Palau",3
"Palestine",4
"Panama",9
"Papua New Guinea",7
"Paraguay",8
"People's Republic of China",401
"Peru",33
"Philippines",18
"Poland",195
"Portugal",85
"Puerto Rico",35
"Qatar",14
"Refugee Olympic Team",26
"Republic of Korea",223
"Republic of Moldova",19
"ROC",318
"Romania",99
"Rwanda",5
"Saint Kitts and Nevis",2
"Saint Lucia",5
"Samoa",8
"San Marino",4
"Sao Tome and Principe",3
"Saudi Arabia",32
"Senegal",9
"Serbia",83
"Seychelles",5
"Sierra Leone",4
"Singapore",23
"Slovakia",38
"Slovenia",51
"Solomon Islands",3
"Somalia",2
"South Africa",171
"South Sudan",2
"Spain",324
"Sri Lanka",9
"St Vincent and the Grenadines",2
"Sudan",5
"Suriname",3
"Sweden",129
"Switzerland",115
"Syrian Arab Republic",6
"Tajikistan",8
"Thailand",39
"Togo",4
"Tonga",5
"Trinidad and Tobago",31
"Tunisia",57
"Turkey",102
"Turkmenistan",8
"Tuvalu",2
"Uganda",24
"Ukraine",152
"United Arab Emirates",4
"United Republic of Tanzania",2
"United States of America",615
"Uruguay",11
"Uzbekistan",63
"Vanuatu",2
"Venezuela",43
"Vietnam",17
"Virgin Islands, British",3
"Virgin Islands, US",4
"Yemen",3
"Zambia",29
"Zimbabwe",5
